iter	Passed	Remaining
0	126	59681
1	259	61070
2	384	60308
3	507	59559
4	635	59437
5	763	59392
6	888	59121
7	1014	58988
8	1137	58655
9	1270	58822
10	1393	58531
11	1520	58401
12	1646	58276
13	1772	58108
14	1896	57901
15	2024	57831
16	2150	57681
17	2282	57696
18	2411	57626
19	2537	57483
20	2665	57371
21	2789	57176
22	2916	57066
23	3042	56912
24	3165	56724
25	3303	56801
26	3430	56670
27	3555	56505
28	3677	56303
29	3803	56163
30	3928	56013
31	4053	55862
32	4177	55702
33	4311	55662
34	4438	55549
35	4565	55425
36	4693	55301
37	4817	55145
38	4939	54970
39	5066	54844
40	5190	54692
41	5320	54596
42	5446	54460
43	5572	54332
44	5697	54191
45	5829	54112
46	5953	53958
47	6077	53810
48	6201	53660
49	6327	53529
50	6454	53405
51	6578	53262
52	6708	53161
53	6832	53017
54	6954	52856
55	7077	52699
56	7200	52550
57	7333	52472
58	7460	52350
59	7588	52230
60	7710	52075
61	7833	51926
62	7955	51776
63	8078	51625
64	8206	51510
65	8337	51417
66	8461	51272
67	8588	51154
68	8712	51013
69	8838	50884
70	8961	50739
71	9088	50615
72	9213	50485
73	9345	50389
74	9476	50290
75	9601	50153
76	9729	50037
77	9855	49908
78	9979	49770
79	10106	49646
80	10229	49506
81	10360	49401
82	10487	49276
83	10611	49140
84	10737	49012
85	10861	48875
86	10988	48754
87	11108	48601
88	11233	48467
89	11361	48351
90	11496	48260
91	11622	48130
92	11747	48000
93	11869	47858
94	11992	47719
95	12117	47584
96	12240	47447
97	12364	47312
98	12492	47195
99	12617	47064
100	12744	46940
101	12867	46800
102	12993	46674
103	13119	46548
104	13243	46415
105	13374	46306
106	13505	46194
107	13633	46077
108	13758	45947
109	13883	45815
110	14008	45683
111	14135	45561
112	14234	45350
113	14303	45044
114	14372	44743
115	14444	44453
116	14519	44180
117	14589	43891
118	14655	43596
119	14720	43303
120	14786	43015
121	14850	42726
122	14918	42450
123	14987	42182
124	15057	41921
125	15124	41651
126	15190	41386
127	15257	41124
128	15327	40874
129	15398	40627
130	15469	40387
131	15541	40147
132	15616	39922
133	15692	39698
134	15770	39483
135	15846	39266
136	15914	39032
137	15985	38805
138	16056	38582
139	16130	38367
140	16202	38150
141	16275	37938
142	16345	37719
143	16418	37511
144	16491	37305
145	16562	37095
146	16636	36894
147	16706	36686
148	16781	36492
149	16859	36304
150	16995	36241
151	17128	36173
152	17259	36097
153	17395	36032
154	17536	35978
155	17654	35874
156	17773	35773
157	17902	35691
158	18036	35619
159	18155	35516
160	18281	35426
161	18405	35334
162	18532	35246
163	18656	35152
164	18784	35063
165	18908	34968
166	19036	34881
167	19162	34789
168	19290	34700
169	19416	34607
170	19550	34528
171	19672	34427
172	19799	34335
173	19929	34246
174	20053	34149
175	20179	34052
176	20306	33958
177	20429	33857
178	20555	33761
179	20680	33663
180	20803	33561
181	20929	33464
182	21056	33367
183	21179	33265
184	21305	33167
185	21431	33068
186	21559	32973
187	21688	32878
188	21811	32774
189	21936	32673
190	22061	32572
191	22186	32471
192	22310	32367
193	22434	32263
194	22563	32167
195	22690	32067
196	22817	31967
197	22941	31863
198	23067	31760
199	23188	31652
200	23309	31542
201	23430	31434
202	23561	31337
203	23683	31229
204	23808	31125
205	23936	31024
206	24058	30915
207	24180	30807
208	24306	30703
209	24432	30598
210	24564	30501
211	24694	30401
212	24823	30300
213	24950	30197
214	25082	30098
215	25208	29993
216	25338	29891
217	25467	29790
218	25602	29694
219	25736	29597
220	25866	29495
221	26004	29401
222	26135	29299
223	26270	29202
224	26405	29104
225	26542	29008
226	26683	28916
227	26812	28811
228	26960	28726
229	27095	28626
230	27230	28527
231	27360	28421
232	27492	28318
233	27629	28220
234	27762	28116
